open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1710296100000,72046.00,72138.60,71936.30,71944.40,1403.118,1710296999999,101070410.44160,24498,652.348,47000845.46800,0
1710297000000,71944.40,72038.20,71942.10,71958.50,727.123,1710297899999,52348458.62220,15225,342.219,24637649.61390,0
1710297900000,71958.60,72086.00,71952.00,72042.90,1015.249,1710298799999,73135938.46380,16834,480.450,34612750.87050,0
1710298800000,72042.90,72186.00,71950.00,72085.30,1485.620,1710299699999,107069784.36520,25288,718.170,51762310.16770,0
1710299700000,72085.30,72300.00,72068.00,72127.10,2549.637,1710300599999,184112150.81680,35188,1452.198,104871179.75050,0
1710300600000,72127.10,72133.00,71970.60,72102.30,1666.842,1710301499999,120098061.53180,23533,662.199,47720459.30630,0
1710301500000,72102.30,72254.00,72058.00,72135.80,2010.273,1710302399999,145019796.16140,26027,1283.361,92590151.00160,0
1710302400000,72135.80,72200.00,71990.00,72160.80,1371.143,1710303299999,98838855.11570,29743,754.881,54423426.98520,0
1710303300000,72160.80,72276.60,72101.00,72141.00,1467.543,1710304199999,105942240.22010,27946,748.659,54052001.35210,0
1710304200000,72141.00,72299.20,72121.30,72265.40,1744.475,1710305099999,126014483.91860,39581,924.079,66747097.58580,0
1710305100000,72265.30,72294.70,72208.80,72292.80,757.137,1710305999999,54701204.29570,15570,410.827,29681976.38120,0
1710306000000,72292.80,72294.20,72151.10,72152.70,914.965,1710306899999,66058072.93700,15957,330.169,23836902.03240,0
1710306900000,72152.80,72248.60,72050.80,72185.90,1188.351,1710307799999,85745679.79140,22582,477.359,34447903.55770,0
1710307800000,72186.00,72225.00,72148.60,72225.00,443.826,1710308699999,32035037.70220,11667,223.578,16138370.56380,0
1710308700000,72225.00,72280.00,72173.20,72227.40,853.245,1710309599999,61636570.93320,16668,387.779,28016196.67050,0
1710309600000,72227.50,72378.90,72180.00,72375.30,1823.222,1710310499999,131805332.22620,28879,1082.704,78277306.19120,0
1710310500000,72375.40,72600.00,72329.00,72483.40,3919.990,1710311399999,284123243.61632,60279,2197.892,159305784.54092,0
1710311400000,72483.40,72851.20,72483.40,72633.00,6584.512,1710312299999,478744345.43952,88623,3703.506,269295167.22702,0
1710312300000,72633.10,72800.00,72532.30,72798.90,3065.217,1710313199999,222695696.74470,45618,1725.848,125401632.20680,0
1710313200000,72795.40,73200.00,72707.40,73134.10,9694.748,1710314099999,707596116.48592,115086,5690.432,415407759.24202,0
1710314100000,73134.00,73311.70,72938.20,73012.80,8680.555,1710314999999,634798989.85084,103968,4115.509,301027177.61074,0
1710315000000,73012.80,73117.90,72861.00,72994.50,3340.879,1710315899999,243840101.84800,53250,1578.831,115253511.92650,0
1710315900000,72994.50,73149.20,72796.50,72964.00,3129.121,1710316799999,228353334.39850,48188,1376.884,100495643.34720,0
1710316800000,72964.10,73444.00,72934.10,73307.90,6566.440,1710317699999,481042867.65410,89061,3794.587,277991142.59060,0
1710317700000,73308.00,73755.00,73170.70,73587.10,7736.369,1710318599999,568601562.09727,109028,4275.487,314299020.51337,0
1710318600000,73587.20,73699.00,73355.10,73672.00,5430.478,1710319499999,399305171.57580,87356,2678.807,196995107.79510,0
1710319500000,73672.10,73739.80,73422.70,73511.40,3563.997,1710320399999,262197818.80570,55154,1503.747,110629718.68690,0
1710320400000,73511.40,73700.00,73480.00,73690.10,2230.794,1710321299999,164172315.97460,38459,1198.963,88241335.16270,0
1710321300000,73690.00,73699.20,73447.50,73540.00,2820.154,1710322199999,207319660.63600,41455,1167.393,85819214.69010,0
1710322200000,73539.90,73539.90,73354.30,73465.00,2699.707,1710323099999,198201447.44810,37668,1072.590,78740398.39460,0
